"Timestamp","What is your age?","What is your education level?","What is your gender?","On an average weekday, how many hours do you spend looking at screens (computers, smartphones, tablets, TVs, etc.) for non-academic purposes (e.g., entertainment, social media, gaming)?","On an average weekend day, how many hours do you spend looking at screens for non-academic purposes?","Which of the following activities do you engage in on screens during your leisure time?","How often do you engage in this activity?","Are you aware of the negative effects of excessive screen time on health (e.g., eye strain, sleep disturbances, sedentary lifestyle, mental health)?","Do you actively try to limit your screen time to mitigate these negative effects?","What devices do you primarily use for leisure screen time?","On average, how many hours of sleep do you get on a typical weekday night?","On average, how many hours of sleep do you get on a typical weekend night?","Do you experience any of the following health issues due to a prolonged screen time?","Do you use any corrective eyewear? (specs, contact lenses, etc)","Has your screen time affected your face-to-face social interactions with friends and family?"
"2023/09/27 3:14:15 PM GMT+5:30","19-24","Post Graduate","Female","2-4 hours","4-6 hours","Social Media;Watching Movies/Shows","Daily","Yes","Yes","Smartphone;Laptop;TV","7","10","Neck and Shoulder pain;Mental health issues","Yes","Yes"
"2023/09/27 4:00:22 PM GMT+5:30","19-24","Post Graduate","Female","4-6 hours","6-8 hours","Social Media","Daily","Yes","Yes","Smartphone;Laptop","6","4","Eye strain;Sleep disruption;Neck and Shoulder pain","Yes","No"
"2023/09/27 4:23:08 PM GMT+5:30","19-24","Under Graduate","Female","Less than 2 hours","Less than 2 hours","Social Media;Watching Movies/Shows;Others","Weekly","Yes","Yes","Smartphone","6","7","Eye strain;Reduced Productivity","No","No"
"2023/09/27 4:43:53 PM GMT+5:30","19-24","Post Graduate","Female","More than 8 hours","6-8 hours","Social Media;Watching Movies/Shows;Others","Daily","Yes","Yes","Smartphone;Laptop;Desktop","7","8","Eye strain;Neck and Shoulder pain","Yes","Yes"
"2023/09/27 4:48:51 PM GMT+5:30","19-24","Under Graduate","Male","Less than 2 hours","Less than 2 hours","Social Media;Watching Movies/Shows","Monthly","Yes","Yes","Smartphone","8 ","6","Neck and Shoulder pain","No","Yes"
"2023/09/27 5:37:21 PM GMT+5:30","19-24","Under Graduate","Female","2-4 hours","6-8 hours","Social Media;Watching Movies/Shows","Daily","Yes","Yes","Smartphone;TV","7","8","Reduced Productivity","No","No"
"2023/09/27 6:09:06 PM GMT+5:30","19-24","Junior College","Male","4-6 hours","2-4 hours","Social Media;Gaming","Daily","Yes","Yes","Smartphone;Laptop","8","8","Eye strain;Reduced Productivity","Yes","No"
"2023/09/27 6:11:28 PM GMT+5:30","19-24","Under Graduate","Male","More than 8 hours","Less than 2 hours","Social Media;Gaming;Watching Movies/Shows","Daily","No","Yes","Smartphone","6","6","Eye strain;Mental health issues","No","No"
"2023/09/27 6:12:58 PM GMT+5:30","19-24","Under Graduate","Female","2-4 hours","2-4 hours","Social Media;Watching Movies/Shows","Daily","Yes","Yes","Smartphone","8 ","8","Eye strain","No","No"
"2023/09/27 6:14:41 PM GMT+5:30","25-34","Under Graduate","Male","2-4 hours","2-4 hours","Social Media","Daily","No","No","Smartphone;Desktop","8","8","Sleep disruption","No","No"
"2023/09/27 6:17:08 PM GMT+5:30","19-24","Junior College","Female","2-4 hours","2-4 hours","Watching Movies/Shows","Daily","Yes","Yes","TV","9","9","Neck and Shoulder pain","Yes","Yes"
"2023/09/27 6:18:01 PM GMT+5:30","35-44","Under Graduate","Female","Less than 2 hours","Less than 2 hours","Social Media","Daily","No","Yes","Smartphone","35 ","8","Eye strain","Yes","No"
"2023/09/27 6:25:42 PM GMT+5:30","19-24","Post Graduate","Male","6-8 hours","4-6 hours","Social Media","Daily","Yes","Yes","Smartphone","8","8","Eye strain","No","No"
"2023/09/27 7:21:43 PM GMT+5:30","19-24","Under Graduate","Male","Less than 2 hours","Less than 2 hours","Social Media;Gaming;Watching Movies/Shows;Others","Daily","Yes","Yes","Smartphone;Laptop;TV","7 ","7 ","Eye strain","No","No"
"2023/09/27 7:31:53 PM GMT+5:30","19-24","Under Graduate","Male","2-4 hours","4-6 hours","Social Media;Gaming;Watching Movies/Shows","Daily","Yes","No","Smartphone;TV","8","8","Sleep disruption","No","Yes"
